Date,Open,High,Low,Close,Adj Close,Volume
2022-06-08,16538.669922,16702.990234,16538.669922,16670.509766,16670.509766,2409700
2022-06-09,16643.949219,16643.949219,16557.539063,16621.339844,16621.339844,2366400
2022-06-10,16581.810547,16581.810547,16403.330078,16460.119141,16460.119141,2373300
2022-06-13,16295.070313,16295.070313,16055.889648,16070.980469,16070.980469,3106700
2022-06-14,15975.169922,16067.799805,15869.059570,16047.370117,16047.370117,3086200
2022-06-15,16025.839844,16106.750000,15981.559570,15999.250000,15999.250000,2967000
2022-06-16,16098.290039,16209.250000,15838.290039,15838.610352,15838.610352,3636900
2022-06-17,15794.160156,15794.160156,15573.379883,15641.259766,15641.259766,4373500
2022-06-20,15649.200195,15667.679688,15367.580078,15367.580078,15367.580078,3998700
2022-06-21,15427.330078,15728.639648,15427.330078,15728.639648,15728.639648,3553500
2022-06-22,15687.459961,15687.459961,15346.950195,15347.750000,15347.750000,3950300
2022-06-23,15305.509766,15380.280273,15102.400391,15176.440430,15176.440430,3916600
2022-06-24,15232.339844,15424.370117,15232.339844,15303.320313,15303.320313,3081400
2022-06-27,15409.080078,15656.349609,15409.080078,15548.009766,15548.009766,3120800
2022-06-28,15519.559570,15533.339844,15375.650391,15439.919922,15439.919922,3094700
2022-06-29,15365.540039,15365.540039,15218.070313,15240.129883,15240.129883,3239700
2022-06-30,15146.919922,15147.769531,14825.730469,14825.730469,14825.730469,3673000
2022-07-01,14812.129883,14812.129883,14336.030273,14343.080078,14343.080078,4290300
2022-07-04,14237.830078,14412.469727,14167.099609,14217.059570,14217.059570,3244400
2022-07-05,14345.540039,14488.799805,14100.889648,14349.200195,14349.200195,3468200
2022-07-06,14289.669922,14319.320313,13985.509766,13985.509766,13985.509766,3688700
2022-07-07,14052.179688,14355.150391,13951.809570,14336.269531,14336.269531,3460100
2022-07-08,14462.500000,14552.419922,14373.839844,14464.530273,14464.530273,3508600
2022-07-11,14478.309570,14525.030273,14313.940430,14340.530273,14340.530273,2620100
2022-07-12,14235.629883,14235.629883,13928.660156,13950.620117,13950.620117,3120000
2022-07-13,14194.940430,14403.509766,14194.940430,14324.679688,14324.679688,3342700
2022-07-14,14252.019531,14450.469727,14159.389648,14438.519531,14438.519531,2947600
2022-07-15,14483.959961,14579.730469,14378.330078,14550.620117,14550.620117,3025600
2022-07-18,14589.099609,14719.639648,14589.099609,14719.639648,14719.639648,3117300
2022-07-19,14638.450195,14720.129883,14598.990234,14694.080078,14694.080078,2964100
2022-07-20,14810.400391,14906.950195,14694.200195,14733.219727,14733.219727,3539900
2022-07-21,14744.169922,14937.700195,14716.019531,14937.700195,14937.700195,3418100
2022-07-22,14953.269531,14996.240234,14902.320313,14949.360352,14949.360352,3674900
2022-07-25,14902.250000,14968.230469,14851.370117,14936.330078,14936.330078,2629600
